country,continent,population,day,time,Cases,Recovered,Deaths,Tests,Z-population,Z-Cases,Z-Recovered,Z-Deaths,Z-Tests,Mortality Rate
Martinique,North-America,374087.0,2024-06-30,2024-06-30T16:15:12+00:00,230354,229252.0,1102.0,828928.0,-0.162,-0.168,-0.169,-0.172,-0.282,0.4783941238268057
Laos,Asia,7481023.0,2024-06-30,2024-06-30T16:15:12+00:00,218970,218212.0,758.0,1233207.0,-0.151,-0.168,-0.169,-0.173,-0.279,0.3461661414805681
Iceland,Europe,345393.0,2024-06-30,2024-06-30T16:15:12+00:00,209906,209677.0,229.0,1996384.0,-0.162,-0.169,-0.17,-0.174,-0.272,0.10909645269787428
DPRK,Asia,25990679.0,2024-06-30,2024-06-30T16:15:11+00:00,4772813,4772739.0,74.0,32988287.854460094,-0.121,-0.081,-0.078,-0.174,-0.0,0.0015504483414707426
Jordan,Asia,10300869.0,2024-06-30,2024-06-30T16:15:11+00:00,1746997,1731007.0,14122.0,17201885.0,-0.146,-0.139,-0.139,-0.147,-0.139,0.8083585718807761
South-Africa,Africa,60756135.0,2024-06-30,2024-06-30T16:15:11+00:00,4076463,3912506.0,102595.0,26795090.0,-0.065,-0.094,-0.096,0.026,-0.054,2.5167651466479644
Kazakhstan,Asia,19205043.0,2024-06-30,2024-06-30T16:15:11+00:00,1411831,1383020.0,13848.0,11575012.0,-0.132,-0.145,-0.146,-0.147,-0.188,0.9808539407336997
Ukraine,Europe,43192122.0,2024-06-30,2024-06-30T16:15:11+00:00,5557995,5445577.0,112418.0,32603805.0,-0.094,-0.066,-0.065,0.045,-0.003,2.0226358605936134
Poland,Europe,37739785.0,2024-06-30,2024-06-30T16:15:11+00:00,6661991,6541393.0,120598.0,39323709.0,-0.102,-0.045,-0.043,0.061,0.056,1.8102396115515618
Colombia,South-America,51512762.0,2024-06-30,2024-06-30T16:15:11+00:00,6400173,6212152.0,143200.0,36951507.0,-0.08,-0.05,-0.05,0.105,0.035,2.2374395192129963
Greece,Europe,10316637.0,2024-06-30,2024-06-30T16:15:11+00:00,6101379,6063510.0,37869.0,102228365.0,-0.146,-0.056,-0.053,-0.101,0.608,0.6206629681585097
Austria,Europe,9066710.0,2024-06-30,2024-06-30T16:15:11+00:00,6081287,6054934.0,22542.0,211273524.0,-0.148,-0.056,-0.053,-0.131,1.566,0.3706781146819744
Portugal,Europe,10140570.0,2024-06-30,2024-06-30T16:15:11+00:00,5643062,5614809.0,28126.0,46139518.0,-0.147,-0.064,-0.062,-0.12,0.116,0.4984173485954965
Chile,South-America,19250195.0,2024-06-30,2024-06-30T16:15:11+00:00,5384853,5252450.0,64497.0,50382097.0,-0.132,-0.069,-0.069,-0.049,0.153,1.1977485736379432
Malaysia,Asia,33181072.0,2024-06-30,2024-06-30T16:15:11+00:00,5278406,5233268.0,37348.0,68580916.0,-0.11,-0.071,-0.069,-0.102,0.313,0.7075620935562744
Canada,North-America,38388419.0,2024-06-30,2024-06-30T16:15:11+00:00,4946090,4881312.0,59034.0,66572774.0,-0.101,-0.078,-0.076,-0.059,0.295,1.1935488436320407
Belgium,Europe,11668278.0,2024-06-30,2024-06-30T16:15:11+00:00,4861695,4826798.0,34376.0,37454182.0,-0.144,-0.079,-0.077,-0.107,0.039,0.7070784983426562
Israel,Asia,9326000.0,2024-06-30,2024-06-30T16:15:11+00:00,4841772,4798473.0,12707.0,41373364.0,-0.148,-0.08,-0.078,-0.15,0.074,0.262445236991746
Thailand,Asia,70078203.0,2024-06-30,2024-06-30T16:15:11+00:00,4770149,4692636.0,34586.0,17273454.0,-0.051,-0.081,-0.08,-0.107,-0.138,0.7250507269269786
Czechia,Europe,10736784.0,2024-06-30,2024-06-30T16:15:11+00:00,4759041,4715206.0,43517.0,57834241.0,-0.146,-0.081,-0.079,-0.09,0.218,0.914406915174717
Peru,South-America,33684208.0,2024-06-30,2024-06-30T16:15:11+00:00,4572667,4350506.0,222161.0,39010194.0,-0.109,-0.085,-0.087,0.259,0.053,4.858455688988505
Switzerland,Europe,8773637.0,2024-06-30,2024-06-30T16:15:11+00:00,4453053,4438309.0,14452.0,23833472.0,-0.149,-0.087,-0.085,-0.146,-0.08,0.3245413876726821
Philippines,Asia,112508994.0,2024-06-30,2024-06-30T16:15:11+00:00,4140383,4067381.0,66864.0,36102746.0,0.018,-0.093,-0.092,-0.044,0.027,1.6149230638808052
Romania,Europe,19031335.0,2024-06-30,2024-06-30T16:15:11+00:00,3529735,3460149.0,68929.0,28758667.0,-0.132,-0.105,-0.105,-0.04,-0.037,1.9528094885310088
Denmark,Europe,5834950.0,2024-06-30,2024-06-30T16:15:11+00:00,3183756,3174942.0,8814.0,129333107.0,-0.154,-0.111,-0.11,-0.157,0.846,0.27684282338219385
Singapore,Asia,5943546.0,2024-06-30,2024-06-30T16:15:11+00:00,3006155,3004131.0,2024.0,24756666.0,-0.153,-0.115,-0.114,-0.17,-0.072,0.06732853096397225
Hong-Kong,Asia,7604299.0,2024-06-30,2024-06-30T16:15:11+00:00,2937609,2916005.0,14924.0,76127725.0,-0.151,-0.116,-0.115,-0.145,0.379,0.5080322125919413
Sweden,Europe,10218971.0,2024-06-30,2024-06-30T16:15:11+00:00,2754129,2726492.0,27407.0,19500873.0,-0.147,-0.12,-0.119,-0.121,-0.118,0.9951240482925817
New-Zealand,Oceania,4898203.0,2024-06-30,2024-06-30T16:15:11+00:00,2621111,2613791.0,5697.0,7768604.0,-0.155,-0.122,-0.121,-0.163,-0.221,0.21735058149006278
Serbia,Europe,8653016.0,2024-06-30,2024-06-30T16:15:11+00:00,2615054,2596608.0,18057.0,13463733.0,-0.149,-0.122,-0.122,-0.139,-0.171,0.6905019934578789
Iraq,Asia,42164965.0,2024-06-30,2024-06-30T16:15:11+00:00,2465545,2439497.0,25375.0,19544451.0,-0.095,-0.125,-0.125,-0.125,-0.118,1.029184216876999
Hungary,Europe,9606259.0,2024-06-30,2024-06-30T16:15:11+00:00,2230232,2152155.0,49048.0,11394556.0,-0.147,-0.13,-0.131,-0.079,-0.19,2.1992330842710532
Bangladesh,Asia,167885689.0,2024-06-30,2024-06-30T16:15:11+00:00,2049377,2019884.0,29493.0,15254399.0,0.106,-0.133,-0.133,-0.117,-0.156,1.4391202789921036
Slovakia,Europe,5460193.0,2024-06-30,2024-06-30T16:15:11+00:00,1877605,1856381.0,21224.0,7448789.0,-0.154,-0.137,-0.137,-0.133,-0.224,1.1303761973365005
Georgia,Asia,3968738.0,2024-06-30,2024-06-30T16:15:11+00:00,1861665,1844533.0,17132.0,16920079.0,-0.157,-0.137,-0.137,-0.141,-0.141,0.9202514953012492
Ireland,Europe,5020199.0,2024-06-30,2024-06-30T16:15:11+00:00,1734582,1724921.0,9491.0,13083449.0,-0.155,-0.139,-0.139,-0.156,-0.175,0.5471635241228145
Pakistan,Asia,229488994.0,2024-06-30,2024-06-30T16:15:11+00:00,1581936,1538689.0,30664.0,30589153.0,0.205,-0.142,-0.143,-0.115,-0.021,1.9383843594178274
Finland,Europe,5554960.0,2024-06-30,2024-06-30T16:15:11+00:00,1516117,1503989.0,11958.0,12108977.0,-0.154,-0.143,-0.144,-0.151,-0.183,0.7887254083952624
Norway,Europe,5511370.0,2024-06-30,2024-06-30T16:15:11+00:00,1509732,1503094.0,6638.0,11002430.0,-0.154,-0.144,-0.144,-0.162,-0.193,0.43968068504873714
Lithuania,Europe,2661708.0,2024-06-30,2024-06-30T16:15:11+00:00,1397806,1387478.0,9897.0,10540357.0,-0.159,-0.146,-0.146,-0.155,-0.197,0.7080381683867433
Slovenia,Europe,2078034.0,2024-06-30,2024-06-30T16:15:11+00:00,1356546,1349424.0,7100.0,2847701.0,-0.16,-0.147,-0.147,-0.161,-0.265,0.5233880753030122
Bulgaria,Europe,6844597.0,2024-06-30,2024-06-30T16:15:11+00:00,1339851,1292944.0,38748.0,11671043.0,-0.152,-0.147,-0.148,-0.099,-0.187,2.891963360104967
Croatia,Europe,4059286.0,2024-06-30,2024-06-30T16:15:11+00:00,1309728,1258432.0,18687.0,5660084.0,-0.156,-0.147,-0.149,-0.138,-0.24,1.4267847980649417
Guatemala,North-America,18584039.0,2024-06-30,2024-06-30T16:15:11+00:00,1291293,1269891.0,20289.0,7593848.0,-0.133,-0.148,-0.148,-0.135,-0.223,1.571215827856265
Morocco,Africa,37772756.0,2024-06-30,2024-06-30T16:15:11+00:00,1278992,1262689.0,16303.0,13001033.0,-0.102,-0.148,-0.148,-0.143,-0.176,1.2746756820996534
Lebanon,Asia,6684849.0,2024-06-30,2024-06-30T16:15:11+00:00,1243838,1087587.0,10952.0,4795578.0,-0.152,-0.149,-0.152,-0.153,-0.248,0.8805005153404221
Costa-Rica,North-America,5182354.0,2024-06-30,2024-06-30T16:15:11+00:00,1238883,1229455.0,9428.0,4659757.0,-0.155,-0.149,-0.149,-0.156,-0.249,0.7610081016528599
Bolivia,South-America,11992656.0,2024-06-30,2024-06-30T16:15:11+00:00,1212131,1177145.0,22407.0,2710261.0,-0.144,-0.149,-0.15,-0.131,-0.266,1.8485625728572244
Tunisia,Africa,12046656.0,2024-06-30,2024-06-30T16:15:11+00:00,1153361,1123938.0,29423.0,5013383.0,-0.144,-0.15,-0.151,-0.117,-0.246,2.551065971538833
Cuba,North-America,11305652.0,2024-06-30,2024-06-30T16:15:11+00:00,1115251,1106660.0,8530.0,14402674.0,-0.145,-0.151,-0.152,-0.158,-0.163,0.7648502444741139
Spain,Europe,46719142.0,2024-06-30,2024-06-30T16:15:10+00:00,13914811,13762417.0,121760.0,471036328.0,-0.088,0.094,0.101,0.063,3.847,0.8750388345195634
North-America,North-America,600000000.0,2024-06-30,2024-06-30T16:15:10+00:00,131889132,127665129.0,1695941.0,32988287.854460094,0.799,2.357,2.378,3.131,-0.0,1.2858838133835016
Asia,Asia,4700000000.0,2024-06-30,2024-06-30T16:15:10+00:00,221500265,205673091.0,1553662.0,32988287.854460094,7.374,4.076,3.937,2.854,-0.0,0.7014267003247152
Europe,Europe,748000000.0,2024-06-30,2024-06-30T16:15:10+00:00,253406198,248754104.0,2101824.0,32988287.854460094,1.037,4.687,4.798,3.922,-0.0,0.8294288050523532
South-America,South-America,436000000.0,2024-06-30,2024-06-30T16:15:10+00:00,70200879,66683585.0,1367332.0,32988287.854460094,0.536,1.174,1.159,2.49,-0.0,1.947741993373046
Oceania,Oceania,43000000.0,2024-06-30,2024-06-30T16:15:10+00:00,14895771,14752388.0,33015.0,32988287.854460094,-0.094,0.113,0.121,-0.11,-0.0,0.22164008831768428
Africa,Africa,1400000000.0,2024-06-30,2024-06-30T16:15:10+00:00,12860924,12090808.0,258892.0,32988287.854460094,2.082,0.074,0.068,0.33,-0.0,2.0130124398526887
All,All,8000000000.0,2024-06-30,2024-06-30T16:15:10+00:00,704753890,675619811.0,7010681.0,32988287.854460094,12.665,13.344,13.329,13.489,-0.0,0.9947701033618984
USA,North-America,334805269.0,2024-06-30,2024-06-30T16:15:10+00:00,111820082,109814428.0,1219487.0,1186851502.0,0.374,1.972,2.021,2.202,10.134,1.090579597321347
India,Asia,1406631776.0,2024-06-30,2024-06-30T16:15:10+00:00,45035393,44501823.0,533570.0,935879495.0,2.093,0.691,0.716,0.865,7.93,1.1847792690517878
France,Europe,65584518.0,2024-06-30,2024-06-30T16:15:10+00:00,40138560,39970918.0,167642.0,271490188.0,-0.058,0.597,0.625,0.152,2.095,0.41765823188475126
Germany,Europe,83883596.0,2024-06-30,2024-06-30T16:15:10+00:00,38828995,38240600.0,183027.0,122332384.0,-0.028,0.572,0.591,0.182,0.785,0.47136682265405017
Brazil,South-America,215353593.0,2024-06-30,2024-06-30T16:15:10+00:00,38743918,36249161.0,711380.0,63776166.0,0.182,0.571,0.551,1.212,0.27,1.8361075408016299
S-Korea,Asia,51329899.0,2024-06-30,2024-06-30T16:15:10+00:00,34571873,34535939.0,35934.0,15804065.0,-0.081,0.49,0.516,-0.104,-0.151,0.10393998612687255
Japan,Asia,125584838.0,2024-06-30,2024-06-30T16:15:10+00:00,33803572,33728878.0,74694.0,100414883.0,0.038,0.476,0.5,-0.029,0.592,0.2209648140143296
Italy,Europe,60262770.0,2024-06-30,2024-06-30T16:15:10+00:00,26723249,26361218.0,196487.0,281126449.0,-0.066,0.34,0.353,0.208,2.179,0.7352661347428225
UK,Europe,68497907.0,2024-06-30,2024-06-30T16:15:10+00:00,24910387,24678275.0,232112.0,522526476.0,-0.053,0.305,0.319,0.278,4.299,0.9317880127675254
Russia,Europe,145805947.0,2024-06-30,2024-06-30T16:15:10+00:00,24124215,23545818.0,402756.0,273400000.0,0.071,0.29,0.297,0.61,2.111,1.6695092462075969
Turkey,Asia,85561976.0,2024-06-30,2024-06-30T16:15:10+00:00,17232066,17129892.0,102174.0,162743369.0,-0.026,0.158,0.169,0.025,1.14,0.59292948390518
Australia,Oceania,26068792.0,2024-06-30,2024-06-30T16:15:10+00:00,11853144,11820014.0,24414.0,81916639.0,-0.121,0.055,0.062,-0.127,0.43,0.20597066904780706
Vietnam,Asia,98953541.0,2024-06-30,2024-06-30T16:15:10+00:00,11625195,10640971.0,43206.0,85826548.0,-0.004,0.05,0.039,-0.09,0.464,0.37165828186107847
Taiwan,Asia,23888595.0,2024-06-30,2024-06-30T16:15:10+00:00,10241523,10222518.0,19005.0,30742304.0,-0.125,0.024,0.031,-0.137,-0.02,0.18556810349398228
Argentina,South-America,46010234.0,2024-06-30,2024-06-30T16:15:10+00:00,10128845,9997258.0,130841.0,35716069.0,-0.089,0.022,0.026,0.081,0.024,1.2917662379076786
Netherlands,Europe,17211447.0,2024-06-30,2024-06-30T16:15:10+00:00,8635786,8612599.0,22992.0,25984435.0,-0.135,-0.007,-0.002,-0.13,-0.062,0.2662409652115048
Mexico,North-America,131562772.0,2024-06-30,2024-06-30T16:15:10+00:00,7702809,6899865.0,334958.0,20013810.0,0.048,-0.025,-0.036,0.478,-0.114,4.348517534317676
Iran,Asia,86022837.0,2024-06-30,2024-06-30T16:15:10+00:00,7627186,7480375.0,146811.0,57320267.0,-0.025,-0.026,-0.024,0.112,0.214,1.9248383348721272
Indonesia,Asia,279134505.0,2024-06-30,2024-06-30T16:15:10+00:00,6829221,6647104.0,162063.0,114158919.0,0.285,-0.042,-0.041,0.141,0.713,2.373081790734258
